,uk,en
Мова,Мова,Language
Керування,Керування,Controls
Авдіо,Авдіо,Audio
Мова:,Мова: UK,Language: EN
На весь екран,На весь екран,Fullscreen
Так,Так,Yes
Ні,Ні,No
Вийти з гри,Вийти з гри,Quit game
Старт,Старт,Start
Завантажити,Завантажити,Load
Налаштування,Налаштування,Settings
Вгору,Вгору,Up
Вниз,Вниз,Down
Вліво,Вліво,Left
Вправо,Вправо,Right
Взаємодія,Взаємодія,Interact
Ривок,Ривок,Dash
Чого мені бракує в житті,Чого мені бракує в житті,The thing I’m missing in my life
Так це Бандери,Так це Бандери,is capitalist
Де вже та курва,Де вже та курва,Where’s that bitch
Кропива то любов,Кропива то любов,AGDG is love
В ім'я Клари,В ім'я Клари,In the name of BLM
"Гей-гу, гей-га – таке то в нас життя","Гей-гу, гей-га – таке то в нас життя","I wish I was in the land of cotton, "
"Наплечники готові – прощай, моє дівча.","Наплечники готові – прощай, моє дівча.",Old times there are not forgotten; 
Сьогодні помандруєм – не знаємо самі,Сьогодні помандруєм – не знаємо самі,Look away!  Look away!  Look away!  Dixie Land. 
Де завтра заночуєм: чорти ми лісові!,Де завтра заночуєм: чорти ми лісові!,"In Dixie’s Land where I was born in, "
"Гей-гу, гей-га – чорти ми лісові!","Гей-гу, гей-га – чорти ми лісові!","Early on one frosty mornin, "
"Гей-гу, гей-га.","Гей-гу, гей-га.",Look away!  Look away!  Look away!  Dixie Land.
"Ой, видно село, широке село під горою,","Ой, видно село, широке село під горою,",Mine eyes have seen the glory of the coming of the Lord;
"Ой, там ідуть стрільці, січовії стрільці до бою.","Ой, там ідуть стрільці, січовії стрільці до бою.",He is trampling out the vintage where the grapes of wrath are stored;
"Іде, іде військо крізь широке поле,","Іде, іде військо крізь широке поле,",He hath loosed the fateful lightning of His terrible swift sword: 
"Дівчата ж то, дівчата, як соколи!","Дівчата ж то, дівчата, як соколи!",His truth is marching on.
"Ха-ха-ха-ха-у-ха-ха-ха, гей!","Ха-ха-ха-ха-у-ха-ха-ха, гей!","Glory, glory, hallelujah!"
"Дівчата ж то, дівчата, як соколи!","Дівчата ж то, дівчата, як соколи!",His truth is marching on.
"Cхоже, бракує бензину","Cхоже, бракує бензину",Seems like it needs gas
Тут був бензин,Тут був бензин,Gas used to be here
